Time: 2023-01-15 18:54:40,092 | Key: 'i'
Time: 2023-01-15 18:54:40,274 | Key: 'k'
Time: 2023-01-15 18:54:40,326 | Key: 'y'
Time: 2023-01-15 18:54:40,423 | Key: Key.enter
Time: 2023-01-15 19:05:33,703 | Key: 's'
Time: 2023-01-15 19:05:35,751 | Key: 'd'
Time: 2023-01-15 19:05:37,805 | Key: 's'
Time: 2023-01-15 19:07:17,285 | Key: 's'
Time: 2023-01-15 19:07:18,027 | Key: Key.shift
Time: 2023-01-15 19:07:18,040 | Key: 'A'
Time: 2023-01-15 19:07:18,439 | Key: 'h'
Time: 2023-01-15 19:07:18,495 | Key: 'o'
Time: 2023-01-15 19:07:18,554 | Key: 'j'
Time: 2023-01-15 19:07:18,975 | Key: Key.ctrl_l
Time: 2023-01-15 19:07:19,335 | Key: '\x03'
Time: 2023-01-15 19:07:19,485 | Key: '\x03'
